init_x,init_y,final_x,final_y,time_delay,true_h0,deflection_x,deflection_y,deflection_mag,final_r,final_theta,init_r,predicted_time_delay,residual_time_delay
-0.810962,0.165378,0.022578,-0.006154,206.622675,70.0,0.83354,-0.171532,0.8510065561580592,0.023401662334116353,-0.26610213535248317,0.8276528549627554,228.23898137767415,-21.616306377674164
-0.486112,-0.087596,-0.083871,-0.003882,318.618162,70.0,0.40224099999999996,0.083714,0.4108598981124831,0.08396079183166391,-3.0953402972783453,0.4939412270300992,309.8236191501683,8.794542849831657
-0.22362,-0.378694,-0.101503,0.044734,309.848611,70.0,0.12211700000000002,0.42342799999999997,0.44068563951302064,0.11092335085544432,2.72648603963515,0.43978977936737,319.1622970711059,-9.313686071105906
-0.702911,0.177741,-0.822092,-0.218421,193.769274,70.0,-0.11918100000000009,-0.396162,0.41370090766760476,0.850613302097375,-2.8819030174832267,0.725034990191508,187.5453527502258,6.223921249774207
-0.713023,0.224454,-0.114643,-0.02391,238.049728,70.0,0.5983799999999999,-0.24836399999999997,0.6478759919120324,0.11710980125079198,-2.935979568855391,0.7475168203090817,245.86529840482908,-7.815570404829089
0.394688,-0.481513,0.278336,0.038383,243.89478,70.0,-0.11635200000000001,0.519896,0.5327566411786906,0.28097007596005663,0.13703736068740655,0.6226021093065779,237.39078681646217,6.50399318353783
-0.785592,0.55748,0.592544,0.515963,161.070406,70.0,1.378136,-0.041517000000000026,1.378761217827438,0.7857010941223131,0.7164229429505621,0.9632957701889903,161.3622070331423,-0.2918010331423204
-0.427524,0.605413,0.512124,0.122159,202.881476,70.0,0.939648,-0.48325399999999996,1.0566327613792788,0.5264919872676126,0.23415838844136053,0.7411488859500499,193.6043224449922,9.2771535550078
-0.820736,-0.11664,0.325585,-0.093227,214.11892,70.0,1.146321,0.02341299999999999,1.1465600741391617,0.33866925717283525,-0.27887518998962046,0.8289827931241999,228.96404821783005,-14.845128217830052
-0.361753,0.024692,-0.023136,0.001638,297.847331,70.0,0.338617,-0.023053999999999998,0.3394008833297285,0.023193911701133985,3.0709118359753664,0.3625947157268015,335.7625943142074,-37.91526331420738
0.993097,0.980149,0.808367,0.953155,120.879756,70.0,-0.18473000000000006,-0.026994000000000073,0.18669185556954548,1.249784645734616,0.8674086368898215,1.3953256657891735,122.66628885667315,-1.7865328566731478
-0.635899,0.448189,0.549196,0.321967,190.550814,70.0,1.185095,-0.126222,1.1917978655413846,0.6366152649010233,0.5302489968847222,0.777972311796506,186.0267322656338,4.524081734366206
0.706737,0.132741,0.089751,-0.006584,287.822295,70.0,-0.6169859999999999,-0.139325,0.6325212880378019,0.08999217219847512,-0.07322734512753667,0.719094820068953,271.7183654855083,16.10392951449171
