init_x,init_y,final_x,final_y,time_delay,true_h0,radial_r,polar_theta,r_inv,r_inv_sq,log_delay,delay_over_r,x_times_delay,y_times_delay,log_r,x_squared,y_squared,xy_cross,delay_squared,r_times_delay,einstein_approx,predicted_init_x,residual_init_x,predicted_init_y,residual_init_y
-0.798847,-0.214126,170.098313,-147.454763,242.772918,70.0,225.11406712338555,-0.7142123031294617,0.00444219238866892,1.9733073217948088e-05,5.496237128022215,1.078444008514544,41295.26379388733,-35798.02308650844,5.42103959372798,28933.436085445966,21742.90713138617,-25081.80643011482,58938.68971423472,54651.59895839218,1.0384815879516323,-0.2523877186623813,-0.5464592813376187,0.018880279109829905,-0.2330062791098299
-0.809073,-0.097192,-64.817539,173.718522,213.169878,70.0,185.41693085552086,1.9279161636384095,0.005393250713366416,2.9087153257227355e-05,5.366769522541377,1.149678596591732,-13817.146880890243,37031.55614108032,5.227985728896588,4201.313362016521,30178.124885864487,-11260.007074757357,45441.39688653489,39525.30452960582,1.0722306638926775,-0.13081122579726906,-0.678261774202731,-0.06653544012324358,-0.030656559876756417
0.500064,0.570127,-85.297442,59.28421,140.179233,70.0,103.87623003877002,2.5342106158137754,0.009626841386137385,9.267607507384756e-05,4.9500302391717215,1.3494832417213956,-11956.929996421988,8310.41508681093,4.652780893336183,7275.653611743364,3514.6175553241,-5056.79146399082,19650.21736446829,14561.290253766343,1.1616726052211939,0.2127849879251824,0.28727901207481754,0.1822287708519874,0.38789822914801264
0.122155,-0.939678,136.771227,-317.734148,368.879735,70.0,345.9210276065499,-1.1643117461414076,0.0028908332171311813,8.356916689269015e-06,5.913177912260603,1.0663697910645475,50452.13397138484,-117205.68831469078,5.849097167896931,18706.36853508553,100954.9888052859,-43456.8892817596,136072.25889367022,127603.25699443181,1.0326518247040226,0.003006656244089177,0.11914834375591082,-0.06245433007675929,-0.8772236699232407
0.837813,-0.870943,19.888638,158.207385,252.291164,70.0,159.45260922930444,1.4457399044913184,0.006271455817260861,3.93311580678551e-05,5.534539672861877,1.582232888111314,5017.727631394632,39914.32531504614,5.077998629370071,395.557921495044,25029.576668538222,3146.52940919163,63650.8314324749,40228.48438529836,1.25786839061617,0.23721918780626935,0.6005938121937306,-0.2592254046340751,-0.6117175953659248
0.055904,-0.424969,-7.292675,-19.120331,65.357709,70.0,20.463874662565395,-1.9351743692382812,0.048866598707365184,0.002387944469226665,4.195059940916759,3.1938089381357497,-476.632530481575,-1249.661029481679,3.066371273680509,53.183108655625,365.587057549561,139.438359875425,4271.630125728681,1337.4719652084223,1.7871230898110375,0.08390635081553095,-0.02800235081553095,-0.20072544510108734,-0.22424355489891265
-0.451236,0.075107,303.324098,251.742884,412.46375,70.0,394.1826836279735,0.6927363728515283,0.002536894792686777,6.435835189161285e-06,6.024569844357231,1.0463771395470605,125110.1949264475,103834.813970455,5.979348148182895,92005.5084275136,63374.47964463746,76359.68321721863,170126.3450640625,162586.06787425757,1.0229257742119222,-0.08391230241650278,-0.36732369758349726,-0.011451708979788505,0.0865587089797885
0.331087,0.581312,-436.62418,-322.36644,579.615333,70.0,542.7345540860155,-2.5056116012166436,0.0018425213405501972,3.3948848903828957e-06,6.364088460129179,1.0679536203626088,-253074.06948655195,-186848.5314686245,6.298461175720836,190640.67456067243,103920.1216382736,140752.9825245192,335953.93424870085,314577.2692971723,1.0334184149523409,0.16888985702445503,0.162197142975545,0.2408376252226979,0.34047437477730214
0.11851,-0.199847,-260.009937,-46.164271,279.897203,70.0,264.0763284652856,-2.965875675535292,0.0037867839273018067,1.4339732512071295e-05,5.637988776780453,1.059910229617131,-72776.0541185062,-12921.250331434012,5.58001781645746,67605.16733874395,2131.139916961441,12003.169194360926,78342.4442472232,73914.22571594272,1.029519416823758,0.16715885649081086,-0.048648856490810855,-0.0706371533912728,-0.1292098466087272
-0.834325,-0.503525,301.147727,340.40006,514.469468,70.0,454.4910937799223,0.8465057904483522,0.00220026313273361,4.84115785326672e-06,6.245078073768926,1.1319682033574738,154931.31089909922,175125.43777536807,6.121376163885197,90689.95347726652,115872.2008480036,102510.70433966361,264678.833504203,233821.79122769475,1.0639399434918655,-0.23010170489024828,-0.6042232951097517,-0.27320706124811234,-0.23031793875188766
-0.738615,0.104308,-268.279533,506.29511,598.198383,70.0,572.9822390236981,2.0580672011839427,0.0017452547917691844,3.0459142881932994e-06,6.395592733601238,1.0440085943593278,-160484.38283259515,302864.9161228072,6.352598453373413,71973.9078266981,256334.73840991213,-135828.61567098365,357841.30542381475,342757.0488716957,1.021767387598238,-0.1825813347202244,-0.5560336652797756,-0.07096941330602806,0.17527741330602806
-0.900056,0.763882,-128.121324,46.555959,196.857114,70.0,136.317757397643,2.7930533851735753,0.007335801378738712,5.381398186830478e-05,5.28754512371774,1.4441046882957236,-25221.594084498935,9164.871728242326,4.922297637241767,16415.073663512972,2167.457318409681,-5964.811107169716,38752.723332409,26835.12030825215,1.2017090697401445,-0.21048972113383776,-0.6895662788661622,0.13860179971513803,0.6252802002848619
0.573084,-0.181511,242.125217,-253.923205,370.524089,70.0,350.85839699908723,-0.8091776244716008,0.0028501526704303127,8.123370244761043e-06,5.917613704585911,1.0560502217221088,89713.2254528523,-94084.66420858525,5.863228813408694,58624.62070729709,64476.994037472025,-61481.21111196048,137288.10052927994,130001.48791608714,1.0276430419762053,0.13249128083546288,0.4405927191645371,0.06246070861417452,-0.24397170861417453
-0.663334,-0.662204,-78.474423,-58.03193,175.071273,70.0,97.60092194599306,-2.504844706515579,0.010245804750774176,0.00010497651499098668,5.170888873291162,1.7937460806274825,-13738.617132550478,-10159.72385974689,4.591080611929916,6158.235065182929,3367.7048995249,4554.02222232639,30649.950629840525,17087.11765105864,1.339308060390694,-0.17353718710319999,-0.4897968128968,-0.3030955224813412,-0.3591084775186588
